B1_DESC;B1_DESC;Equivalencia;Cantidad;Cantidad Comprobantes;Cant Clientes;80/20;Meses Vendidos ;"Peso (Kg) 
(producto+empaque)";"Ancho (mm)
(producto+empaque)";"Largo(mm)
(producto+empaque)";"Alto(mm)
(producto+empaque)";Clasificacion CD
ROD312SKF23;NUP 312 ECP/C3;122601;5;2;1;0,00%;1;1,9550;40;144;146;OO9
ROD314SKF18;NUP 314 ECP;122800;12;8;2;0,00%;4;2,9320;41;168;165;CD2
ROD314SKF17;NUP 314 ECNRP;122804;2;2;2;0,00%;2;2,9830;41;168;165;CD9
ROD314SKF16;NUP 314 ECNML/C3;122808;-5;1;1;-0,01%;1;3,1784;41;168;165;OO9
ROD315SKF18;NUP 315 ECM/C3VA301;123003;7;1;1;0,01%;1;4,0590;44;167;171;OO9
ROD2203SKF6;NUP 2203 ECP;123500;3;2;2;0,00%;2;0,1025;23;45;47;OO9
ROD2205SKF13;NUP 2205 ECP;123600;61;32;20;0,01%;20;0,1758;23;55;57;BC1
ROD2206SKF16;NUP 2206 ECP;123700;52;19;13;0,01%;15;0,2715;29;65;67;CC1
ROD2207SKF18;NUP 2207 ECP;123800;32;19;5;0,01%;14;0,4295;28;76;78;CD1
ROD2208SKF17;NUP 2208 ECP;123900;22;9;6;0,00%;7;0,5290;30;84;86;CD1
ROD2209SKF16;NUP 2209 ECP;124000;10;6;2;0,00%;5;0,5720;27;94;96;CD2
ROD2210SKF18;NUP 2210 ECP;124100;14;11;9;0,00%;10;0,6000;27;94;96;CD1
ROD2211SKF11;NUP 2211 ECP;124200;5;4;3;0,00%;4;0,8470;29;104;106;CD2
ROD2212SKF17;NUP 2212 ECP;124220;2;2;2;0,00%;2;1,1229;34;114;116;CD2
ROD3076SKF;BB1-3076;124290;1;1;1;0,00%;1;1,7380;32;154;156;OO9
ROD2213SKF15;NUP 2213 ECP;124300;1;1;1;0,00%;1;1,5220;39;124;126;CD9
ROD2215SKF11;NUP 2215 ECP;124320;1;1;1;0,00%;1;1,6730;40;144;146;CD9
ROD2216SKF18;NUP 2216 ECP;124330;4;2;1;0,00%;1;2,1110;40;155;157;OO9
ROD2219SKF6;NUP 2219 ECP;124360;1;1;1;0,02%;1;4,0820;51;178;175;OO9
ROD2307SKF13;NUP 2307 ECP;124440;15;7;4;0,00%;7;0,7785;35;84;86;CD1
ROD2308SKF19;NUP 2308 ECP;124450;36;17;9;0,01%;10;1,0070;37;94;96;CD1
ROD2310SKF14;NUP 2310 ECP;124470;11;9;3;0,00%;9;1,8010;44;114;116;CD1
ROD2311SKF17;NUP 2311 ECP;124480;4;2;2;0,00%;2;2,3560;50;124;126;OO9
ROD204PEE6;PER.204HRR2;124510;419;49;24;0,01%;24;0,1300;56;56;35;BB1
ROD209PEE13;PER.209HRRB2;124560;207;67;40;0,01%;21;0,5600;110;110;32;OO9
ROD205PEE20;PER.205HRRB2;124570;363;50;37;0,01%;30;0,1700;56;56;35;CC1
ROD206PEE15;PER.206HRR6;124580;114;28;17;0,00%;19;0,2600;70;70;45;CC1
ROD206PEE4;PER.206KRRB6;124590;453;60;40;0,01%;29;0,2900;71;71;46;BB1
ROD208PEE17;PER.W208SPPB5;124600;46;23;15;0,00%;19;0,5200;91;91;50;#N/D
ROD205PEE4;PER.205KRR2;124620;58;10;8;0,00%;7;0,1800;57;57;35;CD1
ROD208PEE15;PER.W208HPP21;124690;32;18;12;0,00%;13;0,5600;90;90;50;#N/D
ROD208PEE6;PER.GW208PP5;124710;7;8;4;0,00%;5;0,6469;90;90;63;CD1
ROD207PEE5;PER.207KRRB17;124780;13;7;5;0,00%;4;0,3700;110;110;33;CD1
ROD5209PEE;PER.GW5209-KYYB2;124830;5;3;3;0,00%;2;0,7030;90;90;63;CD2
ROD210PEE4;PER.210PP20;124870;2;1;1;0,00%;1;0,9600;93;93;50;CD9
ROD210PEE5;PER.210PPB.20;125050;2;1;1;0,00%;1;0,93;93;93;50;CD9
ROD210SKF;210;125310;13;3;2;0,00%;3;0,5185;25;104;106;CD9
ROD210SKF2;210-ZNR;125330;1;1;1;0,00%;1;0,5361;25;104;106;OO9
ROD211SKF2;211 NR;125400;31;6;3;0,00%;6;0,7047;26;114;116;CD1
ROD211SKF3;211-ZNR;125400;8;6;5;0,00%;4;0,7190;26;114;116;CD1
ROD212SKF2;212-ZNR;125600;1;1;1;0,00%;1;0,8970;28;124;126;CD9
ROD213SKF2;213-ZNR;125700;3;3;3;0,00%;3;1,1380;29;134;136;CD2
ROD213SKF;213 NR;125800;1;1;1;0,00%;1;1,1380;29;134;136;OO9
ROD308SKF3;308 TN9/C3;126100;20;7;3;0,00%;5;0,6600;27;94;96;CD1
ROD308SKF2;308 NR;126200;1;1;1;0,00%;1;0,7097;29;104;106;CD9
ROD308SKF5;308-ZNR;126200;12;7;7;0,00%;6;0,7100;29;104;106;CD1
ROD309SKF3;309-ZNR;126400;2;2;2;0,00%;2;0,9465;31;114;116;CD2
ROD310SKF4;310-ZNR;126600;4;3;3;0,00%;3;1,2160;33;124;126;CD2
ROD310SKF3;310 NR;126610;5;4;3;0,00%;3;1,2025;33;124;126;CD2
ROD311SKF2;311-ZNR;126700;1;1;1;0,00%;1;1,5280;35;134;136;OO9
ROD312SKF2;312 NR;126810;2;2;2;0,00%;2;1,9720;40;144;146;CD9
ROD11205SKF;11205 TN9;127400;26;5;2;0,01%;4;0,2300;48;55;57;CD9
ROD11206SKF;11206 TN9;127500;8;2;1;0,00%;2;0,3587;54;65;67;CD9
ROD11208SKF;11208 TN9;127800;2;1;1;0,00%;1;0,7220;64;84;86;CD9
ROD62200SKF;62200-2RS1;129600;15;11;10;0,00%;8;0,0512;17;45;47;CC1
ROD62201SKF;62201-2RS1;129700;271;44;25;0,01%;23;0,0538;17;45;47;BC1
ROD62201SKF2;62201-2RS1/C3;129700;208;109;59;0,01%;34;0,0565;23;45;47;BB1
ROD62202SKF;62202-2RS1;129800;52;28;23;0,00%;19;0,0630;19;50;52;CC1
ROD62202SKF2;62202-2RS1/C3;129800;116;52;42;0,00%;29;0,0660;19;50;52;CB1
ROD62203SKF;62203-2RS1;129900;116;37;28;0,01%;24;0,0925;23;45;47;BC1
ROD62204SKF;62204-2RS1;130000;102;50;28;0,00%;27;0,1400;23;55;57;CC1
ROD62204SKF2;62204-2RS1/C3;130000;25;12;6;0,00%;9;0,1388;23;55;57;CC1
ROD62205SKF;62205-2RS1;130100;213;34;17;0,01%;19;0,1588;23;55;57;BC1
ROD62206SKF;62206-2RS1;130200;66;23;19;0,01%;16;0,2555;29;65;67;CC1
ROD62207SKF;62207-2RS1;130300;75;19;5;0,01%;16;0,3885;28;76;78;CC1
ROD62208SKF;62208-2RS1;130400;92;39;27;0,01%;22;0,4770;30;84;86;BC1
ROD62209SKF;62209-2RS1;130500;10;5;4;0,00%;4;0,5240;27;94;96;CD9
ROD62210SKF;62210-2RS1;130600;9;4;4;0,00%;4;0,5540;29;104;106;CD2
ROD62211SKF;62211-2RS1;130700;2;2;2;0,00%;2;0,7610;31;114;116;CD9
ROD62212SKF;62212-2RS1;130800;58;51;33;0,02%;24;1,0310;33;124;126;BC1
ROD62301SKF;62301-2RS1;130850;3;2;2;0,00%;2;0,0896;23;55;57;CD2
ROD62302SKF;62302-2RS1;130900;11;7;6;0,00%;6;0,1125;23;45;47;CD2
ROD62302SKF2;62302-2RS1/C3;130900;3;2;2;0,00%;2;0,1125;23;45;47;CD2
ROD62303SKF;62303-2RS1;131000;12;7;7;0,00%;6;0,1553;23;55;57;CD1
ROD62304SKF;62304-2RS1;131100;108;49;37;0,01%;30;0,2044;22;65;67;BB1
ROD62305SKF;62305-2RS1;131200;250;140;54;0,03%;35;0,3205;29;65;67;BB1
ROD62306SKF;62306-2RS1;131300;328;110;37;0,04%;34;0,5080;34;76;78;AB1
ROD62306SKF2;62306-2RS1/C3;131300;202;70;24;0,02%;28;0,5080;34;76;78;BB1
ROD62308SKF;62308-2RS1;131500;1;1;1;0,00%;1;0,9190;37;94;96;OO9
ROD62309SKF;62309-2RS1;131600;73;8;8;0,02%;6;1,2100;44;104;106;CD9
ROD62314SKF;62314-2RS1;131800;1;1;1;0,00%;1;3,7101;58;157;161;CD9
ROD322SKF15;QJ 322 N2MA;132060;1;1;1;0,00%;1;11,8900;265;265;56;BD9
ROD320811SKF;BC1B 320811;132450;25;12;7;0,01%;10;0,0702;17;45;47;BC1
ROD205SKF14;RNU 205;132500;2;1;1;0,00%;1;0,1070;19;55;57;OO9
ROD205SKF12;QJ 205 N2MA/C2L;132680;34;3;1;0,01%;3;0,1650;19;55;57;BD9
ROD206SKF15;QJ 206 MA;132880;18;4;2;0,00%;4;0,2544;22;65;67;CD9
ROD207SKF17;QJ 207 N2MA/C2L;132890;2;1;1;0,00%;1;0,3556;23;76;78;CD9
ROD209SKF13;QJ 209 MA;133000;2;2;2;0,00%;2;0,5250;23;89;91;CD2
ROD209SKF14;QJ 209/C2;133000;36;36;19;0,01%;21;0,4912;23;89;91;BC1
ROD211SKF18;QJ 211 MA;133050;8;2;1;0,00%;2;0,7800;25;104;106;CD9
ROD212SKF22;QJ 212 MA/C2;133100;4;3;3;0,00%;3;0,9940;26;114;116;CD9
ROD222SKF16;QJ 222 N2MA/C3;133220;20;1;1;0,02%;1;5,6471;48;210;215;AD9
ROD306SKF14;QJ 306 MA;133310;7;2;2;0,00%;2;0,4303;23;76;78;CD2
ROD309SKF21;QJ 309 MA;133400;33;20;13;0,01%;15;1,0430;29;104;106;BC1
ROD309SKF24;QJ 309 N2MA/C2L;133400;1;1;1;0,00%;1;1,0430;29;104;106;CD9
ROD310SKF24;QJ 310 MA;133420;19;6;4;0,01%;4;1,3450;31;114;116;CD9
ROD316SKF18;QJ 316 N2MA;133720;5;2;1;0,01%;2;4,5900;44;178;175;BD9
ROD507SKF;2G-RW 507 J;134000;335;166;59;0,01%;35;0,3665;28;76;78;BB1
ROD305701SKF;305701 C-2Z;135240;;2;1;0,00%;1;0,0830;23;45;47;CD9
ROD305802SKF;305802 C-2Z;135250;214;12;3;0,02%;11;0,1078;23;45;47;AC1
ROD40SKF79;T2EE 040/QVB134;135450;10;11;7;0,00%;9;0,9260;37;94;96;CD1
ROD1307SKF5;MUS1307-UM;136400;156;128;67;0,03%;36;0,5928;49;83;83;AB1
ROD320298SKF;BC1B 320298;138020;2;2;2;0,00%;2;0,2732;23;66;66;CD2
ROD1559SKF;R1559-TV;138200;110;81;36;0,01%;33;0,2132;27;73;73;BB1
ROD1563SKF;R1563-TAV;138300;116;93;50;0,01%;34;0,1510;21;65;65;BB1
ROD306SKF15;RNU 306;138460;7;3;2;0,00%;2;0,2750;23;76;78;CD2
ROD2307SKF14;RN 2307;138700;1;1;1;0,00%;1;0,3836;39;76;78;CD9
ROD329270SKF;BT1B 329270/Q;139050;8;3;2;0,00%;2;0,2980;23;76;78;OO9
ROD639360SKF;BT1B 639360/Q;140100;1;1;1;0,00%;1;0,7890;29;104;106;OO9
ROD1000SKF4;VKT 1000;140350;138;130;67;0,02%;35;0,8990;112;178;42;AB1
ROD3446SKF;BB1-3446;140370;2;2;2;0,00%;2;0,6300;27;94;96;CD2
ROD207PEE6;PER.207KYY;140900;24;23;18;0,00%;16;0,3700;93;93;50;CC1
ROD88128SKF;12G-88128 TN9/GJN;141200;1.285;536;156;0,08%;36;0,4820;82;82;33;AB1
ROD3731SKF;VKBA 3731;141760;2;6;4;0,00%;4;1,1590;68;111;102;CD2
ROD124SKF2;MRC.124RF-BKE;142160;6;1;1;0,02%;1;;;;;OO9
ROD7220SKF4;MRC.7220;142220;3;1;1;0,01%;1;;;;;OO9
ROD7437SKF;VKBA 7437;142270;17;19;15;0,01%;14;4,5140;153;153;173;BC1
ROD7000SKF2;VKBA 7000;142280;15;9;5;0,00%;8;0,8390;84;111;111;CD1
ROD7439SKF;VKBA 7439;142290;5;3;3;0,00%;3;4,3720;153;153;173;CD2
ROD239697SKF;239697/Q;142300;7;7;6;0,00%;7;2,2970;44;133;135;CD2
ROD243150SKF2;BT1B 243150/QCL7C;142330;3;3;3;0,00%;2;5,5380;62;164;166;CD2
ROD50SKF47;T2ED 050;142450;8;7;6;0,00%;6;1,3300;44;104;106;CD1
ROD309797SKF;BAHB 309797 C;142810;13;11;9;0,00%;9;0,8560;52;94;96;CC1
ROD3450SKF;VKBA 3450;142830;4;3;3;0,00%;3;1,1640;131;137;73;CD2
ROD3449SKF;VKBA 3449;142840;4;3;2;0,00%;3;1,0160;131;137;73;CD2
ROD3601SKF;VKBA 3601 A;142880;340;185;79;0,02%;35;0,4300;45;55;55;AB1
ROD36SKF2;BAH-0036/VK210;142910;3.777;1273;245;0,23%;35;0,5800;55;75;75;AB1
ROD206SKF2;BAH-0206/VC560;142910;2.943;810;188;0,11%;32;0,5600;55;75;75;AA1
ROD4104SKF;BAF-4104 BB/VK210;142930;8;7;6;0,00%;4;1,5400;68;124;126;CD1
ROD20080SKF;VKBC 20080;142930;73;54;39;0,01%;27;1,5370;131;137;73;BB1
ROD20116SKF;VKBC 20116;142940;155;90;51;0,01%;20;0,5970;49;76;78;CC1
ROD3531SKF;VKBA 3531;142950;23;14;10;0,00%;12;0,7450;111;111;84;CC1
ROD20009SKF;VKBC 20009;142960;751;400;143;0,10%;36;0,5990;49;76;78;AB1
ROD69SKF;BAH-0069;142970;3;2;2;0,00%;2;0,8985;59;84;86;CD2
ROD3456SKF;VKBA 3456;143050;16;17;10;0,00%;11;1,6870;131;137;73;CC1
ROD6831SKF;VKBA 6831 A;143140;184;125;63;0,02%;29;0,7050;45;82;82;AB1
ROD314984SKF;314984;143400;2;4;3;0,00%;4;1,0980;40;104;106;CD2
ROD315070SKF;315070 B A;143500;18;16;16;0,00%;13;1,0400;116;116;22;CC1
ROD315823SKF;315823;143800;1;1;1;0,00%;1;0,7572;29;104;106;CD9
ROD315824SKF;315824;143900;16;14;12;0,01%;10;0,9884;31;114;116;CD1
ROD316790SKF;316790-A;144000;33;27;13;0,01%;17;0,6000;80;80;23;BC1
ROD320308SKF;BC1B 320308 A;144110;11;11;8;0,00%;10;1,2560;37;104;104;CC1
ROD322467SKF;BC1B 322467/HB3;144160;1;1;1;0,00%;1;0,9930;31;114;116;CD9
ROD328236SKF;BT1B 328236 A/QCL7CVK210;144180;25;23;17;0,00%;18;0,2700;35;75;75;CC1
ROD329013SKF;BT1B 329013 A/Q;144190;441;134;61;0,02%;35;0,1150;20;55;55;BB1
ROD17SKF3;BT1-0017 A/QVK210;144210;60;47;21;0,01%;24;0,3120;45;82;82;CC1
ROD1982SKF;1982 F/1924 A/QVQ519;144220;1;1;1;0,00%;1;0,2270;29;65;67;CD9
ROD321642SKF2;BS2B 321642 EB;144230;1;1;1;0,00%;1;0,3740;28;76;78;CD9
ROD321642SKF3;BS2B 321642 EBA;144230;1;1;1;0,00%;1;0,3758;28;76;78;CD9
ROD328406SKF;BT1B 328406 A/Q;144240;2;2;2;0,00%;2;3,2140;45;154;156;CD9
ROD78SKF5;BB1-0078;144250;43;34;20;0,00%;20;0,1393;19;55;57;CC1
ROD328053SKF;BT1B 328053 AB/Q;144320;2;1;1;0,00%;1;0,2609;28;76;78;CD9
ROD330632SKF;330632 C/Q;144500;25;19;16;0,01%;14;2,1100;40;144;146;CC1
ROD332532SKF;BT1B 332532 A;144610;2;2;2;0,00%;1;3,4870;50;175;175;CD2
ROD326332SKF;BCAB 326332 B;144620;257;84;40;0,01%;32;0,0778;23;55;57;BB1
ROD331075SKF;331075/Q;144900;3;3;3;0,00%;3;2,9070;45;154;156;CD9
ROD328612SKF;BT1B 328612 C/QCL7C;145110;12;7;7;0,00%;5;0,2540;23;76;78;CD9
ROD328612SKF2;BT1B 328612 C/QCL7CVK210;145110;31;18;13;0,00%;12;0,2500;21;74;74;CC1
ROD331305SKF;331305 A/Q;145210;44;40;28;0,01%;24;1,2680;40;104;106;BC1
ROD329138SKF;RBT1B 329138/QVQ276;145270;8;6;6;0,00%;6;0,6380;28;124;126;CD2
ROD1861887SKF2;BTHB 1861887 AA;145280;1;1;1;0,00%;1;0,8442;59;84;86;CD9
ROD331933SKF;331933/Q;145290;5;4;4;0,00%;4;2,8510;63;134;135;CD9
ROD332330SKF;332330 B/Q;145310;65;47;25;0,02%;23;2,7600;63;134;135;BC1
ROD332600SKF;BT1B 332600 A;145330;7;6;5;0,00%;4;3,9720;50;175;175;CD1
ROD331958SKF;331958/Q;145370;12;6;3;0,00%;6;1,8630;40;144;146;CD2
ROD63SKF3;63/28/C3;145900;14;9;7;0,00%;5;0,3060;23;76;78;CC1
ROD362021SKF;BB1B 362021;146500;-1;5;3;0,00%;3;0,4040;25;84;86;CD9
ROD362711SKF;BB1B 362711 A;146610;1;1;1;0,00%;1;0,2194;22;65;67;OO9
ROD362937SKF;BB1B 362937 B;146630;1;1;1;0,00%;1;0,2640;23;76;78;OO9
ROD396139SKF;396139;146700;13;12;9;0,01%;7;0,9190;29;104;106;CD2
ROD414169SKF;414169;147700;1;1;1;0,00%;1;;;;;CD9
ROD331126SKF;331126/Q;147800;6;10;4;0,00%;6;3,3720;44;178;175;CD9
ROD446740SKF;BB1B 446740 CA;148900;26;23;10;0,00%;16;0,1841;22;65;67;CC1
ROD440809SKF;440809 A/Q;149050;5;1;1;0,00%;1;0,1266;21;54;54;OO9
ROD3160SKF;BB1-3160 B;149390;18;15;12;0,00%;11;0,2274;22;65;67;CC1
ROD447244SKF;BB1B 447244;149410;14;13;9;0,00%;10;0,2014;22;65;67;CC1
ROD13SKF7;BC1-0013 E;149430;8;8;5;0,00%;8;0,2417;22;65;67;CD1
ROD6917SKF2;VKBA 6917;149540;2;2;2;0,00%;2;2,8840;153;153;173;CD2
ROD614944SKF;614944;150200;;2;1;0,00%;1;;;;;OO9
ROD639174SKF;639174;150300;21;11;7;0,00%;9;1,4500;55;110;110;CD1
ROD639213SKF;639213;150500;15;14;7;0,00%;9;0,1010;19;50;52;CD2
ROD639068SKF;639068;150600;8;4;4;0,00%;4;0,3900;25;105;105;CD2
ROD639209SKF;639209;150900;3;2;2;0,00%;2;0,0562;17;45;47;OO9
ROD615722SKF;615722;152000;1;1;1;0,00%;1;0,4040;27;94;96;CD9
ROD2SKF20;T2EE 060/Q;152100;5;4;4;0,00%;4;1,8890;44;124;126;CD9
ROD20039SKF;VKBC 20039;153250;27;19;13;0,00%;12;0,7220;64;95;97;CC1
ROD639058SKF;639058 A/Q;153300;53;33;19;0,01%;18;0,4320;30;120;120;BC1
ROD633966SKF;BAHB 633966 BB;153310;7;7;5;0,00%;7;0,6742;44;84;86;CD2
ROD20071SKF;VKBC 20071;153320;41;29;10;0,00%;18;0,6890;59;84;86;CC1
ROD78SKF2;BAR-0078 AA;153330;1;1;1;0,00%;1;3,8000;147;147;171;CD9
ROD122SKF;BAH-0122;153340;4;6;4;0,00%;6;0,8270;52;94;96;CD2
ROD76SKF;BAH-0076 C;153360;2;2;2;0,00%;2;0,6730;44;84;86;CD9
ROD20016SKF;VKBC 20016;153380;546;348;116;0,06%;36;0,6510;64;95;97;AB1
ROD4SKF;BAH-0004 AA;153390;158;112;61;0,02%;31;0,7690;44;84;86;BB1
ROD20050SKF;VKBC 20050;153390;31;20;15;0,00%;8;0,7670;64;95;97;CC1
ROD31SKF2;BAH-0031 D;153400;9;3;3;0,00%;3;0,5700;44;76;78;OO9
ROD31SKF3;BAH-0031 D/VK210;153400;2.602;869;194;0,15%;36;0,5700;75;75;45;AB1
ROD6502SKF;VKBA 6502;153410;63;42;16;0,01%;25;0,6490;84;111;111;BC1
ROD246033SKF;BA2B 246033 B;153500;2;1;1;0,00%;1;0,4320;44;65;67;OO9
ROD633313SKF3;BAHB 633313 EA;153500;587;168;79;0,02%;36;0,4280;44;65;67;AB1
ROD13SKF3;BAF-0013 AD/VK210;153510;95;72;37;0,01%;27;1,4100;73;133;138;BB1
ROD4625SKF;VKBA 4625 A;153510;1.241;569;146;0,12%;36;1,4360;73;133;138;AB1
ROD62SKF3;62/22-2RS1;153690;26;10;5;0,00%;9;0,1240;19;55;57;CD1
ROD62SKF2;62/22/C3;153700;1;1;1;0,00%;1;0,1240;19;55;57;OO9
ROD362668SKF;BB1B 362668 A;153700;3;2;2;0,00%;2;0,1080;19;55;57;CD9
ROD16SKF2;BB1-0016 A;153720;71;47;27;0,00%;28;0,1160;19;55;57;CC1
ROD631046SKF;BB1B 631046 B;153800;181;80;39;0,01%;30;0,2780;78;76;23;CC1
ROD309544SKF;309544 BB;154920;4;4;4;0,00%;3;0,0340;17;45;47;OO9
ROD311315SKF;BAHB 311315 AD;155900;1;1;1;0,00%;1;0,4930;44;76;78;CD9
ROD311315SKF2;BAHB 311315 AD B;155900;571;236;77;0,03%;36;0,4730;55;75;75;AB1
ROD309726SKF;309726 DA;155910;60;29;24;0,00%;8;0,4561;44;76;78;CC1
ROD92SKF;BAH-0092;155910;2;2;2;0,00%;2;0,5010;44;76;78;CD2
ROD20003SKF;VKBC 20003;155910;13;10;7;0,00%;7;0,4810;42;74;74;CC1
ROD20012SKF;VKBC 20012;155910;931;420;137;0,07%;35;0,4561;44;76;78;AB1
ROD311443SKF;BAHB 311443 B;155920;3;3;2;0,00%;3;0,5760;42;74;74;CD2
ROD311443SKF2;BAHB 311443 BB;155920;353;189;83;0,02%;36;0,5760;42;74;74;AB1
ROD633815SKF;BAHB-633815 AA;155940;8;5;5;0,00%;5;0,7010;44;84;86;CD1
ROD11SKF2;BAH-0011 AB;155950;6;5;4;0,00%;4;0,8329;42;94;96;CD2
ROD58SKF2;BAF-0058 B/VK210;155960;10;11;9;0,00%;8;1,5970;68;124;126;CD1
ROD4139SKF;BAF-4139 C/VK210;155970;21;19;12;0,01%;15;1,5080;68;124;126;CD1
ROD3567SKF;VKBA 3567;155990;114;87;48;0,03%;31;1,6560;154;151;103;AB1
ROD446762SKF;BA2B 446762 B;157000;172;104;50;0,02%;30;0,5750;39;76;78;BB1
ROD20017SKF;VKBC 20017;157000;27;18;11;0,00%;14;0,6130;49;76;78;CC1
ROD20044SKF;VKBC 20044;157000;12;6;4;0,00%;3;0,5750;39;76;78;CD1
ROD51SKF;BAH-0051 AA;157010;4;3;2;0,00%;1;0,5880;39;76;78;OO9
ROD51SKF2;BAH-0051 AB;157010;1;1;1;0,00%;1;0,5755;39;76;78;CD9
ROD20013SKF;VKBC 20013;157010;643;294;97;0,05%;35;0,5755;39;76;78;AB1
ROD4109SKF;BAF-4109 C;157030;1;1;1;0,00%;1;1,6620;71;134;136;CD9
ROD4106SKF4;BAF-4106 BB;157060;1;1;1;0,00%;1;1,9620;71;134;136;CD9
ROD15SKF44;VKBC 20066;157100;161;98;41;0,01%;31;0,4810;49;76;78;BB1
ROD328915SKF;RBTB 328915/Q;157180;1;1;1;0,00%;1;0,704;45;84;86;CD9
ROD3600SKF;VKBA 3600 A;157480;443;225;98;0,04%;36;0,5400;55;75;75;AB1
ROD53SKF2;BAR-0053 C/VK108;157490;2;2;2;0,00%;2;3,0700;147;147;99;CD9
ROD636114SKF;BAHB 636114 A;157500;1;1;1;0,00%;1;0,4980;42;74;74;CD9
ROD636114SKF2;BAHB 636114 B/VK210;157500;2.818;812;178;0,18%;36;0,5200;55;75;75;AB1
ROD636096SKF;BAHB 636096 A;157510;39;33;18;0,00%;21;0,6740;44;84;86;CC1
ROD20029SKF;VKBC 20029;157510;1;1;1;0,00%;1;0,6740;64;95;97;CD9
ROD45SKF;BAR-0045 B/VK108;157520;9;13;11;0,00%;11;3,3000;147;147;166;CD1
ROD29SKF2;BAR-0029 D/VK108;157540;32;26;23;0,01%;17;3,1600;147;147;156;BC1
ROD20140SKF;VKBC 20140;157550;12;12;11;0,00%;8;3,5770;153;153;173;CC1
ROD48SKF;BAR-0048/VK108;157560;81;71;32;0,02%;31;2,7000;137;137;99;BB1
ROD49SKF4;BAR-0049 E/VK108;157570;8;9;8;0,00%;8;2,9000;147;147;131;CC1
ROD50SKF;BAR-0050 AC/VK108;157580;23;24;15;0,01%;15;3,2566;147;147;131;CC1
ROD176SKF;BT1-0176/Q;157650;15;9;6;0,00%;5;0,2980;74;74;96;CD1
ROD163SKF;BT1-0163/Q;157652;17;7;4;0,01%;7;2,0940;42;144;146;CD9
ROD20101SKF;VKBC 20101;157670;11;9;6;0,00%;7;1,2340;131;137;73;CD1
ROD311316SKF;BAHB 311316 B;157700;2;1;1;0,00%;1;0,4310;44;76;78;OO9
ROD440114SKF;BA2B 440114 AE;158200;2;2;1;0,00%;2;0,0838;23;55;57;CD9
ROD6654SKF;VKBA 6654;158370;2;2;2;0,00%;2;2,7200;153;153;173;CD2
ROD442882SKF;442882/Q;158400;196;109;43;0,01%;34;0,1944;22;65;67;BB1
ROD11SKF;BAF-0011;158440;17;14;8;0,00%;10;1,4610;68;124;126;CC1
ROD40SKF3;BAF-0040 B;158450;128;94;42;0,03%;25;1,4660;68;124;126;BB1
ROD20030SKF;VKBC 20030;158450;133;80;34;0,01%;17;1,4710;131;137;73;BB1
ROD49SKF;BAF-0049 X;158470;1;1;1;0,00%;1;1,6400;137;137;87;OO9
ROD328227SKF;BT1B 328227 CA/Q;159600;4;3;2;0,00%;2;0,1605;29;65;67;CD9
ROD20020SKF;VKBC 20020;159710;556;378;143;0,11%;36;1,0690;52;94;96;AB1
ROD20073SKF;VKBC 20073;159710;4;3;2;0,00%;3;1,0650;52;94;96;CD2
ROD20113SKF;VKBC 20113;159710;4;5;4;0,00%;3;1,0550;52;94;96;CD1
ROD6556SKF;VKBA 6556;159720;5;3;1;0,00%;2;3,2720;154;151;103;CD9
ROD635251SKF;BC1B 635251;160100;22;25;14;0,00%;16;0,1910;26;55;57;CC1
ROD6682SKF;VKBA 6682;160440;164;111;58;0,02%;35;0,9200;102;111;68;AB1
ROD84888SKF;VKJP 84888;160490;77;43;22;0,00%;27;0,0936;45;55;55;CC1
ROD84887SKF;VKJP 84887;160510;735;201;40;0,03%;36;0,0990;45;55;55;AB1
ROD20107SKF;VKBC 20107;160560;41;34;18;0,01%;19;1,9180;131;137;73;BC1
ROD68SKF;BAF-0068 D;160570;14;12;11;0,00%;11;1,6520;71;134;136;CC1
ROD3423SKF;VKBA 3423;160590;3;2;2;0,00%;2;0,8550;84;111;111;CD2
ROD6207SKF5;6207 N/VP089;160600;1.136;315;87;0,04%;36;0,3090;23;76;78;AB1
ROD185SKF3;BAH-0185 D;160620;3;3;3;0,00%;3;0,7990;52;94;96;OO9
ROD20010SKF;VKBC 20010;160620;516;292;105;0,05%;36;0,7990;52;94;96;AB1
ROD20040SKF;VKBC 20040;160624;68;32;21;0,01%;13;0,6530;64;95;97;BC1
ROD12SKF3;BAH-0012 AA;160630;3;2;2;0,00%;2;0,6490;42;74;74;CD9
ROD94SKF;BAH-0094;160630;2.878;1126;252;0,18%;36;0,6200;44;76;78;AB1
ROD20004SKF;VKBC 20004;160630;138;24;16;0,01%;12;0,6530;64;95;97;BC1
ROD1233SKF;BTH-1233;160650;15;13;9;0,00%;11;0,8190;59;84;86;CC1
ROD20011SKF;VKBC 20011;160660;833;485;160;0,08%;36;0,7928;52;94;96;AB1
ROD3585SKF3;VKBA 3585;160670;2;2;2;0,00%;2;1,7170;131;137;73;OO9
ROD1209SKF5;BTH-1209 E;160680;14;12;8;0,00%;8;0,6833;59;84;86;CC1
ROD1243SKF;BTH-1243 C;160684;1;1;1;0,00%;1;0,4219;48;55;57;CD9
ROD20059SKF;VKBC 20059;160684;469;279;100;0,04%;33;0,4206;54;65;67;AB1
ROD4039SKF;BAF-4039 B;160730;-3;3;2;0,00%;3;1,9200;91;144;146;OO9
ROD444450SKF;BAFB 444450 AAC;160740;3;2;2;0,00%;2;1,9300;137;137;89;CD9
